58	149
33	10
60	116
33	4
62	304
33	10
48	63
33	14
58	171
33	10
60	148
33	4
62	115
33	10
48	130
33	14
58	220
33	10
62	125
33	10
48	110
33	14
58	288
33	10
60	284
33	4
62	47
33	10
48	288
33	14
58	201
33	10
60	141
33	4
62	170
33	10
48	131
33	14
58	206
33	10
60	168
33	4
62	176
33	10
48	263
33	14
58	344
33	12
60	248
33	6
62	146
33	10
48	247
33	14
58	124
33	10
60	188
33	4
62	205
33	10
48	208
33	14
58	313
33	14
60	148
33	4
62	325
33	12
48	134
33	14
58	90
33	10
60	192
33	4
62	57
33	10
48	99
33	14
58	153
33	10
60	169
33	4
62	84
33	10
48	144
33	14
58	261
33	12
60	306
33	6
62	206
33	10
48	192
33	14
58	216
33	10
60	296
33	6
62	94
33	10
48	212
33	14
58	249
33	10
60	209
33	4
62	174
33	10
48	182
33	14
58	150
33	10
60	70
33	4
62	253
33	10
48	128
33	14
58	180
33	10
60	223
33	4
62	286
33	14
48	182
33	14
58	285
34	14
60	220
33	4
62	141
33	10
48	140
33	14
58	217
33	10
34	14
60	212
33	4
62	288
33	12
48	236
33	14
58	193
33	10
60	85
33	4
62	156
33	10
48	236
33	14
58	237
33	10
60	145
33	4
62	141
33	14
48	388
33	18
58	274
33	12
60	201
33	4
62	365
33	14
48	223
33	14
58	275
33	12
60	0Hi
33	8
62	137
33	10
48	166
33	14
58	127
33	10
60	173
33	4
62	225
33	10
48	184
33	14
58	262
33	12
60	376
33	8
62	250
33	12
48	119
33	14
58	194
33	10
60	259
33	6
62	221
33	10
48	297
33	16
58	223
33	10
60	325
33	8
62	0Hi
33	14
48	393
33	18
58	246
33	10
60	0Hi
33	8
62	361
33	12
48	348
33	18
58	262
33	12
60	0Hi
33	8
62	330
33	12
48	0Hi
33	18
58	240
33	10
60	317
33	8
62	156
33	10
48	158
33	14
58	221
33	10
60	225
33	4
62	0Lo
33	4
48	97
33	10
58	225
33	10
60	274
33	8
62	175
33	10
48	147
33	14
58	156
33	10
60	205
33	4
62	251
33	12
48	160
33	14
58	196
33	10
60	97
33	4
62	166
33	10
48	224
33	14
58	269
33	10
60	167
33	4
62	251
33	12
48	279
33	14
58	303
33	14
60	249
33	6
62	117
33	10
48	222
33	14
58	104
33	10
60	55
33	4
62	193
33	10
48	264
33	16
58	195
33	10
60	249
33	6
62	153
33	10
48	92
33	10
58	125
33	10
60	160
33	4
62	292
33	12
48	183
33	14
58	137
33	10
60	86
33	4
62	281
33	12
48	105
33	14
58	88
33	10
60	61
33	4
62	178
33	10
48	348
33	18
58	252
33	12
60	66
33	4
62	217
33	10
48	191
33	14
58	173
33	10
60	57
33	4
62	195
33	10
48	209
33	14
58	239
33	10
60	235
33	6
62	173
33	10
48	142
33	14
58	326
33	14
60	263
33	6
